MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20250106	I-0329548-50	000040158778		A00A2038400	FC-6K-20-S3-03 G1J-OMT3	2	1.000	PC	P100	1911	X		4908060511	0001	581		S	894032.00000	894032.00000	1500000.00000	1500000.00000
B10	20250108		000010130483		A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	10.000	PC	P100	1911		X	5002949420	0001	101	F	S	208327.00000	2083270.00000	288000.00000	2880000.00000
B10	20250108		000010130482		A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	10.000	PC	P100	1911		X	5002949421	0001	101	F	S	208327.00000	2083270.00000	288000.00000	2880000.00000
B10	20250109	M-0332863-10	000040159842		A00A1543500	HKD-8200GUT34 CL 0.5 A4(K	4	4.000	PC	P100	1911	X		4908063009	0001	581		S	293732.00000	1174928.00000	450000.00000	1800000.00000
B10	20250109	M-0332863-20	000040159843		A00A1543500	HKD-8200GUT34 CL 0.5 A4(K	4	4.000	PC	P100	1911	X		4908063008	0001	581		S	293732.00000	1174928.00000	450000.00000	1800000.00000
B10	20250109	M-0332863-30	000040159844		A00A1543500	HKD-8200GUT34 CL 0.5 A4(K	2	2.000	PC	P100	1911	X		4908063004	0001	581		S	293732.00000	587464.00000	450000.00000	900000.00000
B10	20250114		000010131658		U00A0326300	FXP-RFC-4W-L16501	4	4.000	PC	P100	1210		X	5002950593	0001	101	F	S	85092.00000	340368.00000	0.00000	0.00000
B10	20250115		000010131539		U0A465902	＆BKU-12RFA21N20 16A RoHS	5	5.000	PC	P100	1210		X	5002950893	0001	101	F	S	9133.00000	45665.00000	0.00000	0.00000
B10	20250116		000010124633		A00A1201200	SW-V02    (REACH)	15	1.000	PC	P100	1911		X	5002951452	0001	101	F	S	284400.00000	284400.00000	410000.00000	410000.00000
B10	20250116		000010129004		A00A1457700	ID-3000PW-U1E	10	10.000	PC	P100	1910		X	5002951469	0001	101	F	S	723499.00000	7234990.00000	918000.00000	9180000.00000
B10	20250116		000010129041		A2A884300	KHF-60/120 CE        STD	10	10.000	PC	P100	1911		X	5002951468	0001	101	F	S	92526.00000	925260.00000	70000.00000	700000.00000
B10	20250116	I-0329548-50	000040158778		A00A2038400	FC-6K-20-S3-03 G1J-OMT3	2	1.000	PC	P100	1911	X		4908067069	0001	581		S	894032.00000	894032.00000	1500000.00000	1500000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002951997	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002951998	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002951999	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952000	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952001	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952002	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952003	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952004	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952005	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952006	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952007	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952008	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952009	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952010	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952011	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952012	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952013	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952014	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952015	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952016	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952017	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952018	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952019	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952020	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952021	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952022	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952023	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952024	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952025	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952026	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952027	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952028	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952029	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952030	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952031	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952032	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952033	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952034	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952035	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952036	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952037	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952038	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952039	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952040	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952041	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
B10	20250117		000010131410		A00A1915000	UG-TB1A (CC)	50	1.000	PC	P100	1911			5002952042	0001	101	F	S	6623.00000	6623.00000	7000.00000	7000.00000
