MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20241107		000010131272		A00A2006500	UG1-2150FT3 ｽﾗｲﾄﾞ金具付	2	2.000	PC	P100	1911		X	5002933474	0001	101	F	S	73778.00000	147556.00000	108000.00000	216000.00000
B10	20241107		000010131050		A00A2018000	ISOAMP2 I/F CARD	50	31.000	PC	P100	1911		X	5002933539	0001	101	F	S	25115.00000	778565.00000	35000.00000	1085000.00000
B10	20241107		000010130070		U00A0326300	FXP-RFC-4W-L16501	5	5.000	PC	P100	1210		X	5002933538	0001	101	F	S	85092.00000	425460.00000	0.00000	0.00000
B10	20241107		000010130071		U00A0326400	FXP-RFC-4W-R16501	4	4.000	PC	P100	1210		X	5002933537	0001	101	F	S	85127.00000	340508.00000	0.00000	0.00000
B10	20241107		000010130386		U0A445902	＆BKU-13RFA22/01 32A RoHS	9	9.000	PC	P100	1210		X	5002933478	0001	101	F	S	10891.00000	98019.00000	0.00000	0.00000
B10	20241107		000010131322		U1A012600	UF-DP	100	1.000	PC	P100	1911			5002933355	0001	101	F	S	4872.00000	4872.00000	5000.00000	5000.00000
B10	20241107		000010131322		U1A012600	UF-DP	100	1.000	PC	P100	1911			5002933356	0001	101	F	S	4872.00000	4872.00000	5000.00000	5000.00000
B10	20241107		000010131322		U1A012600	UF-DP	100	1.000	PC	P100	1911			5002933357	0001	101	F	S	4872.00000	4872.00000	5000.00000	5000.00000
B10	20241107		000010131322		U1A012600	UF-DP	100	1.000	PC	P100	1911			5002933358	0001	101	F	S	4872.00000	4872.00000	5000.00000	5000.00000
B10	20241107		000010131322		U1A012600	UF-DP	100	1.000	PC	P100	1911			5002933359	0001	101	F	S	4872.00000	4872.00000	5000.00000	5000.00000
B10	20241107		000010131322		U1A012600	UF-DP	100	1.000	PC	P100	1911			5002933360	0001	101	F	S	4872.00000	4872.00000	5000.00000	5000.00000
B10	20241107		000010131322		U1A012600	UF-DP	100	1.000	PC	P100	1911			5002933361	0001	101	F	S	4872.00000	4872.00000	5000.00000	5000.00000
