MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20240905		000010129821		U00A0326300	FXP-RFC-4W-L16501	6	6.000	PC	P100	1210		X	5002912942	0001	101	F	S	85092.00000	510552.00000	0.00000	0.00000
B10	20240905	I-0329548-10	000040157901		A00A2038400	FC-6K-20-S3-03 G1J-OMT3	3	1.000	PC	P100	1911	X		4907947832	0001	581		S	894032.00000	894032.00000	1725000.00000	1725000.00000
B10	20240911		000010127803		A00A0627401	KSX-2000MPNDS(ROHS)	25	25.000	PC	P100	1911		X	5002914825	0001	101	F	S	119624.00000	2990600.00000	280000.00000	7000000.00000
B10	20240911		000010129828		U00A0247401	＆SDU-140RFC11N50-I	94	94.000	PC	P100	1210		X	5002914826	0001	101	F	S	28142.00000	2645348.00000	0.00000	0.00000
B10	20240911	I-0329548-10	000040157901		A00A2038400	FC-6K-20-S3-03 G1J-OMT3	3	1.000	PC	P100	1911	X		4907954434	0001	581		S	894032.00000	894032.00000	1725000.00000	1725000.00000
B10	20240912		000010131061		A7A313101	UF1-2035	9	1.000	PC	P100	1911			5002915795	0001	101	F	S	44996.00000	44996.00000	44000.00000	44000.00000
B10	20240912		000010131061		A7A313101	UF1-2035	9	1.000	PC	P100	1911			5002915796	0001	101	F	S	44996.00000	44996.00000	44000.00000	44000.00000
B10	20240912		000010131061		A7A313101	UF1-2035	9	1.000	PC	P100	1911			5002915797	0001	101	F	S	44996.00000	44996.00000	44000.00000	44000.00000
B10	20240912		000010131061		A7A313101	UF1-2035	9	1.000	PC	P100	1911			5002915798	0001	101	F	S	44996.00000	44996.00000	44000.00000	44000.00000
B10	20240912		000010131061		A7A313101	UF1-2035	9	1.000	PC	P100	1911			5002915799	0001	101	F	S	44996.00000	44996.00000	44000.00000	44000.00000
B10	20240912		000010131061		A7A313101	UF1-2035	9	1.000	PC	P100	1911			5002915800	0001	101	F	S	44996.00000	44996.00000	44000.00000	44000.00000
B10	20240912		000010131061		A7A313101	UF1-2035	9	1.000	PC	P100	1911			5002915801	0001	101	F	S	44996.00000	44996.00000	44000.00000	44000.00000
B10	20240912		000010131061		A7A313101	UF1-2035	9	1.000	PC	P100	1911			5002915802	0001	101	F	S	44996.00000	44996.00000	44000.00000	44000.00000
B10	20240912		000010131061		A7A313101	UF1-2035	9	1.000	PC	P100	1911		X	5002915803	0001	101	F	S	44996.00000	44996.00000	44000.00000	44000.00000
B10	20240912		000010129822		U00A0120901	＆DMU-FXP-RFA-R	6	6.000	PC	P100	1210		X	5002915831	0001	101	F	S	18523.00000	111138.00000	0.00000	0.00000
B10	20240912		000010129827		U00A0247601	＆SDU-160RFC12N75-I	30	30.000	PC	P100	1210		X	5002915833	0001	101	F	S	33696.00000	1010880.00000	0.00000	0.00000
