MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925585	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925586	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925587	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925588	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925589	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925590	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925591	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911			5002925592	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241011		000010130865		A00A1915100	UG-TB1V (CV)	30	1.000	PC	P100	1911		X	5002925593	0001	101	F	S	6316.00000	6316.00000	8000.00000	8000.00000
B10	20241015		000010127365		A6A686900	KSX-100MHXP ﾘｮｳｻﾝｷ	10	10.000	PC	P100	1911		X	5002926174	0001	101	F	S	217704.00000	2177040.00000	322000.00000	3220000.00000
B10	20241015		000010131386		E00A5285600	KSX-4000MPNDS ﾒｲﾝﾊｰﾈｽ加工	25	25.000	PC	P100	1210		X	5002926176	0001	101	F	S	433.00000	10825.00000	0.00000	0.00000
B10	20241015		000010130647		U00A0120901	＆DMU-FXP-RFA-R	2	2.000	PC	P100	1210		X	5002926172	0001	101	F	S	18523.00000	37046.00000	0.00000	0.00000
B10	20241015		000010130648		U0A446101	＆DMU-12RF01 ﾀﾞﾐｰﾕﾆｯﾄ	8	8.000	PC	P100	1210		X	5002926173	0001	101	F	S	5955.00000	47640.00000	0.00000	0.00000
B10	20241016		000010130651		U0A465902	＆BKU-12RFA21N20 16A RoHS	4	4.000	PC	P100	1210		X	5002926362	0001	101	F	S	9133.00000	36532.00000	0.00000	0.00000
B10	20241018		000010127804		A00A0627401	KSX-2000MPNDS(ROHS)	25	25.000	PC	P100	1911		X	5002927544	0001	101	F	S	119624.00000	2990600.00000	280000.00000	7000000.00000
B10	20241018		000010127810		A00A0771101	KSX-4000MPNDS(ROHS)	25	25.000	PC	P100	1911		X	5002927545	0001	101	F	S	197276.00000	4931900.00000	560000.00000	14000000.00000
