MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20240508		000010125521		A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	10.000	PC	P100	1911		X	5002876318	0001	101	F	S	177692.00000	1776920.00000	288000.00000	2880000.00000
B10	20240510		000010124405		A00A1548802	KSM-6002HAFIWV (RoHS)	40	40.000	PC	P100	1911		X	5002877277	0001	101	F	S	262354.00000	10494160.00000	450000.00000	18000000.00000
B10	20240510		000010125043		A6A862600	IDKS-40-200T3 L67-70L	16	16.000	PC	P100	1911		X	5002877709	0001	101	F	S	307950.00000	4927200.00000	429000.00000	6864000.00000
B10	20240515		000010128207		A00A1962500	MRT-15005C        STD	5	1.000	PC	P100	1911			5002879184	0001	101	F	S	264388.00000	264388.00000	327000.00000	327000.00000
B10	20240515	M-0328438-10	000040157394		A00A1516000	HKD-15300GUT135 (K)	1	1.000	PC	P100	1911	X		4907829327	0001	581		S	311291.00000	311291.00000	610000.00000	610000.00000
B10	20240520		000010125921		A00A1511801	NW-150AH-5 CQC	20	20.000	PC	P100	1911		X	5002880277	0001	101	F	S	588981.00000	11779620.00000	700000.00000	14000000.00000
B10	20240521	E-0314712-10	000040148243		A00A1148400	UF1-4350FT4 絶縁強化型	2	2.000	PC	P100	1911	X		4907836236	0001	581		S	118107.00000	236214.00000	168000.00000	336000.00000
B10	20240521	E-0314712-20	000040148244		A00A1176900	UF1-4250FT4絶縁強化型	1	1.000	PC	P100	1911	X		4907836232	0001	581		S	95753.00000	95753.00000	132000.00000	132000.00000
B10	20240521	E-0327693-10	000040156987		A00A0811300	UF1-4450T3	1	1.000	PC	P100	1911	X		4907836231	0001	581		S	140985.00000	140985.00000	189735.00000	189735.00000
B10	20240524		000010126561		A00A0600101	SAC-I	10	10.000	PC	P100	1911		X	5002882125	0001	101	F	S	787582.00000	7875820.00000	995000.00000	9950000.00000
B10	20240524		000010124403		A00A1377001	KSM-4002HAFIW (RoHS)	100	100.000	PC	P100	1911		X	5002882185	0001	101	F	S	206179.00000	20617900.00000	219000.00000	21900000.00000
B10	20240528		000010127795		A00A0627401	KSX-2000MPNDS(ROHS)	25	25.000	PC	P100	1911		X	5002883151	0001	101	F	S	119624.00000	2990600.00000	280000.00000	7000000.00000
B10	20240528		000010127794		A00A0627401	KSX-2000MPNDS(ROHS)	25	25.000	PC	P100	1911		X	5002883152	0001	101	F	S	119624.00000	2990600.00000	280000.00000	7000000.00000
B10	20240528		000010125904		A6A862600	IDKS-40-200T3 L67-70L	6	6.000	PC	P100	1911		X	5002883150	0001	101	F	S	307950.00000	1847700.00000	429000.00000	2574000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002883003	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002883004	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002883005	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002883006	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002883007	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002883008	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002883009	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002883010	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911			5002883011	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528		000010128191		U0A970600	SPU-2060	10	1.000	PC	P100	1911		X	5002883012	0001	101	F	S	20810.00000	20810.00000	21000.00000	21000.00000
B10	20240528	M-0301937-10	000040143232		A00A1543500	HKD-8200GUT34 CL 0.5 A4(K	8	8.000	PC	P100	1911	X		4907844136	0001	581		S	284031.00000	2272248.00000	400000.00000	3200000.00000
